Local Date: 2024/03/12 Local Time: 21:13:37
Build info: May  5 2023 16:05:02 r

WARNING   : (21:13:40:139 |00000)    COMMON        9916; (ve_i18n_qt.cpp:62,i18n_logger) [I18n] warning: C:/Users/Lenovo/AppData/Local/CapCut/Apps/2.2.0.491/Resources/po/ru-RU.po:10298: warning: msgstr[N] seen, but no Plural-Forms given: 

WARNING   : (21:13:40:266 |00127)    COMMON        9916; (ve_i18n_qt.cpp:62,i18n_logger) [I18n] warning: C:/Users/Lenovo/AppData/Local/CapCut/Apps/2.2.0.491/Resources/po/ru-RU.po:12722: warning: msgstr[N] seen, but no Plural-Forms given: 

WARNING   : (21:13:40:269 |00003)    COMMON        9916; (ve_i18n_qt.cpp:62,i18n_logger) [I18n] warning: C:/Users/Lenovo/AppData/Local/CapCut/Apps/2.2.0.491/Resources/po/ru-RU.po:12843: warning: msgstr[N] seen, but no Plural-Forms given: 

WARNING   : (21:13:40:269 |00000)    COMMON        9916; (ve_i18n_qt.cpp:62,i18n_logger) [I18n] warning: C:/Users/Lenovo/AppData/Local/CapCut/Apps/2.2.0.491/Resources/po/ru-RU.po:12850: warning: msgstr[N] seen, but no Plural-Forms given: 

WARNING   : (21:13:40:270 |00001)    COMMON        9916; (ve_i18n_qt.cpp:62,i18n_logger) [I18n] warning: C:/Users/Lenovo/AppData/Local/CapCut/Apps/2.2.0.491/Resources/po/ru-RU.po:13118: warning: msgstr[N] seen, but no Plural-Forms given: 

WARNING   : (21:13:40:270 |00000)    COMMON        9916; (ve_i18n_qt.cpp:62,i18n_logger) [I18n] warning: C:/Users/Lenovo/AppData/Local/CapCut/Apps/2.2.0.491/Resources/po/ru-RU.po:13158: warning: msgstr[N] seen, but no Plural-Forms given: 

WARNING   : (21:13:40:271 |00001)    COMMON        9916; (ve_i18n_qt.cpp:62,i18n_logger) [I18n] warning: C:/Users/Lenovo/AppData/Local/CapCut/Apps/2.2.0.491/Resources/po/ru-RU.po:13219: warning: msgstr[N] seen, but no Plural-Forms given: 

DEBUGINFO : (21:13:40:271 |00000)    COMMON        9916; (detector.cpp:1494,DetectorManager::CheckNext) cur_detector type:10
DEBUGINFO : (21:13:40:326 |00055)    COMMON       10744; (detector.cpp:299,DetectorBase::checkInternal) type:10
DEBUGINFO : (21:13:40:880 |00555)    COMMON        9916; (gpuBugListMgr.cpp:58,GpuBugListMgr::ReqConfigFile_::<lambda_336c79c76d61b79fff870eee01656709>::operator ()) download finish
DEBUGINFO : (21:13:41:660 |00779)    COMMON       10744; (VEDetectorSettings.cpp:198,VEDetectorSettings::GetIntelDiscreteCardSwitch) check intel discrete switch : 1
DEBUGINFO : (21:13:41:661 |00001)    COMMON       10744; (updateDriver.cpp:397,UpdateDriver::getAllIntelGraphicsDeviceInfo) getAllIntelGraphicsDeviceInfo enter
DEBUGINFO : (21:13:41:661 |00000)    COMMON       10744; (updateDriver.cpp:1226,UpdateDriver::generateGraphcisCardInfo) enter
DEBUGINFO : (21:13:41:661 |00000)    COMMON       10744; (updateDriver.cpp:403,UpdateDriver::getAllIntelGraphicsDeviceInfo) getAllIntelGraphicsDeviceInfo vendor_id:8086 device_id:0156
DEBUGINFO : (21:13:41:661 |00000)    COMMON       10744; (updateDriver.cpp:1518,UpdateDriver::getDeviceInfo) vendorID:32902 deviceID:342
DEBUGINFO : (21:13:41:661 |00000)    COMMON       10744; (updateDriver.cpp:1226,UpdateDriver::generateGraphcisCardInfo) enter
DEBUGINFO : (21:13:41:661 |00000)    COMMON       10744; (updateDriver.cpp:1540,UpdateDriver::getDeviceInfo) strVendorID:10DE strDeviceID:1140 curVendorID:4318 curDeviceID:4416
DEBUGINFO : (21:13:41:661 |00000)    COMMON       10744; (updateDriver.cpp:1540,UpdateDriver::getDeviceInfo) strVendorID:8086 strDeviceID:0156 curVendorID:32902 curDeviceID:342
DEBUGINFO : (21:13:41:663 |00002)    COMMON       10744; (VEDetectorSettings.cpp:198,VEDetectorSettings::GetIntelDiscreteCardSwitch) check intel discrete switch : 1
DEBUGINFO : (21:13:41:663 |00000)    COMMON       10744; (updateDriver.cpp:397,UpdateDriver::getAllIntelGraphicsDeviceInfo) getAllIntelGraphicsDeviceInfo enter
DEBUGINFO : (21:13:41:663 |00000)    COMMON       10744; (updateDriver.cpp:1226,UpdateDriver::generateGraphcisCardInfo) enter
DEBUGINFO : (21:13:41:663 |00000)    COMMON       10744; (updateDriver.cpp:403,UpdateDriver::getAllIntelGraphicsDeviceInfo) getAllIntelGraphicsDeviceInfo vendor_id:8086 device_id:0156
DEBUGINFO : (21:13:41:759 |00096)    COMMON       10744; (detector.cpp:177,`anonymous-namespace'::createNewProcess) ShellExecuteEx exe_path:C:\Users\Lenovo\AppData\Local\CapCut\Apps\2.2.0.491\VEDetector.exe param:-check_intel_discrete_card 0156
DEBUGINFO : (21:13:42:091 |00333)    COMMON       10744; (detector.cpp:180,`anonymous-namespace'::createNewProcess) ShellExecuteEx success
DEBUGINFO : (21:13:42:091 |00000)    COMMON       10744; (detector.cpp:184,`anonymous-namespace'::createNewProcess) hProcess is valid
DEBUGINFO : (21:13:42:312 |00221)    COMMON       10744; (detector.cpp:2012,IntelDiscreteCardDetector::doCheck) vendorID:8086 deviceID:0156 ret:-1
DEBUGINFO : (21:13:42:314 |00002)    COMMON        9916; (detector.cpp:1448,DetectorManager::onItemCheckFinished) type:10 success:1
DEBUGINFO : (21:13:42:314 |00000)    COMMON        9916; (VEDetectorSettings.cpp:198,VEDetectorSettings::GetIntelDiscreteCardSwitch) check intel discrete switch : 1
DEBUGINFO : (21:13:42:314 |00000)    COMMON        9916; (detector.cpp:1494,DetectorManager::CheckNext) cur_detector type:11
DEBUGINFO : (21:13:42:314 |00000)    COMMON       10744; (detector.cpp:299,DetectorBase::checkInternal) type:11
DEBUGINFO : (21:13:43:338 |01024)    COMMON       10744; (VEDetectorSettings.cpp:266,VEDetectorSettings::GetNvSettingDetectorSwitch) check nv setting detector switch : 1
DEBUGINFO : (21:13:43:338 |00000)    COMMON       10744; (updateDriver.cpp:391,UpdateDriver::getAllGraphicsDeviceInfo) getAllGraphicsDeviceInfo enter
DEBUGINFO : (21:13:43:338 |00000)    COMMON       10744; (updateDriver.cpp:1226,UpdateDriver::generateGraphcisCardInfo) enter
DEBUGINFO : (21:13:43:338 |00000)    COMMON       10744; (updateDriver.cpp:1518,UpdateDriver::getDeviceInfo) vendorID:4318 deviceID:4416
DEBUGINFO : (21:13:43:338 |00000)    COMMON       10744; (updateDriver.cpp:1226,UpdateDriver::generateGraphcisCardInfo) enter
DEBUGINFO : (21:13:43:338 |00000)    COMMON       10744; (updateDriver.cpp:1540,UpdateDriver::getDeviceInfo) strVendorID:10DE strDeviceID:1140 curVendorID:4318 curDeviceID:4416
DEBUGINFO : (21:13:43:338 |00000)    COMMON       10744; (updateDriver.cpp:1518,UpdateDriver::getDeviceInfo) vendorID:32902 deviceID:342
DEBUGINFO : (21:13:43:338 |00000)    COMMON       10744; (updateDriver.cpp:1226,UpdateDriver::generateGraphcisCardInfo) enter
DEBUGINFO : (21:13:43:338 |00000)    COMMON       10744; (updateDriver.cpp:1540,UpdateDriver::getDeviceInfo) strVendorID:10DE strDeviceID:1140 curVendorID:4318 curDeviceID:4416
DEBUGINFO : (21:13:43:338 |00000)    COMMON       10744; (updateDriver.cpp:1540,UpdateDriver::getDeviceInfo) strVendorID:8086 strDeviceID:0156 curVendorID:32902 curDeviceID:342
DEBUGINFO : (21:13:43:340 |00002)    COMMON       10744; (VEDetectorSettings.cpp:266,VEDetectorSettings::GetNvSettingDetectorSwitch) check nv setting detector switch : 1
DEBUGINFO : (21:13:43:341 |00001)    COMMON       10744; (updateDriver.cpp:1226,UpdateDriver::generateGraphcisCardInfo) enter
ERROR     : (21:13:43:341 |00000)    COMMON       10744; (nvapi_wrapper.cpp:309,nvapi::NvapiWrapper::NvapiWrapper) load fail dll: nvapi64.dll
DEBUGINFO : (21:13:43:341 |00000)    COMMON       10744; (VEDetectorSettings.cpp:277,VEDetectorSettings::GetShowNvSettingConfirmSwitch) show nv setting confirm switch : 1
DEBUGINFO : (21:13:43:342 |00001)    COMMON        9916; (detector.cpp:1448,DetectorManager::onItemCheckFinished) type:11 success:1
DEBUGINFO : (21:13:43:342 |00000)    COMMON        9916; (VEDetectorSettings.cpp:266,VEDetectorSettings::GetNvSettingDetectorSwitch) check nv setting detector switch : 1
DEBUGINFO : (21:13:43:342 |00000)    COMMON        9916; (detector.cpp:1494,DetectorManager::CheckNext) cur_detector type:1
DEBUGINFO : (21:13:43:353 |00011)    COMMON       14500; (detector.cpp:299,DetectorBase::checkInternal) type:1
DEBUGINFO : (21:13:44:374 |01021)    COMMON        9916; (detector.cpp:1448,DetectorManager::onItemCheckFinished) type:1 success:0
DEBUGINFO : (21:13:44:374 |00000)    COMMON        9916; (detector.cpp:1494,DetectorManager::CheckNext) cur_detector type:0
DEBUGINFO : (21:13:44:374 |00000)    COMMON       10744; (detector.cpp:299,DetectorBase::checkInternal) type:0
DEBUGINFO : (21:13:45:383 |01008)    COMMON       10744; (VEDetectorSettings.cpp:218,VEDetectorSettings::GetCheckUnknownDeviceSwitch) check unknown device switch : 1
DEBUGINFO : (21:13:45:383 |00000)    COMMON       10744; (updateDriver.cpp:391,UpdateDriver::getAllGraphicsDeviceInfo) getAllGraphicsDeviceInfo enter
DEBUGINFO : (21:13:45:383 |00000)    COMMON       10744; (updateDriver.cpp:1226,UpdateDriver::generateGraphcisCardInfo) enter
DEBUGINFO : (21:13:45:386 |00003)    COMMON       10744; (VEDetectorSettings.cpp:218,VEDetectorSettings::GetCheckUnknownDeviceSwitch) check unknown device switch : 1
DEBUGINFO : (21:13:45:389 |00003)    COMMON       10744; (updateDriver.cpp:1226,UpdateDriver::generateGraphcisCardInfo) enter
DEBUGINFO : (21:13:45:389 |00000)    COMMON       10744; (updateDriver.cpp:937,UpdateDriver::GetKnownCardVendorList) str_vendor_list 8086;1002;10DE;1ED5
DEBUGINFO : (21:13:45:390 |00001)    COMMON        9916; (detector.cpp:1448,DetectorManager::onItemCheckFinished) type:0 success:1
DEBUGINFO : (21:13:45:390 |00000)    COMMON        9916; (VEDetectorSettings.cpp:218,VEDetectorSettings::GetCheckUnknownDeviceSwitch) check unknown device switch : 1
DEBUGINFO : (21:13:45:390 |00000)    COMMON        9916; (detector.cpp:1494,DetectorManager::CheckNext) cur_detector type:2
DEBUGINFO : (21:13:45:390 |00000)    COMMON       14500; (detector.cpp:299,DetectorBase::checkInternal) type:2
DEBUGINFO : (21:13:46:407 |01018)    COMMON       14500; (VEDetectorSettings.cpp:224,VEDetectorSettings::GetCheckUpdateDriverSwitch) check update driver switch : 1
